1041	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	2	4	
Non-Redundancy	4	4	4	
Referential Clarity	3	2	4	
Focus	5	4	4	Wide spread with enough detail
Structure	5	4	4	Excellent init and end sentences
Coherence	4	3	4	
Readability	3	4	4	Sentence fragment
Information Content	5	5	4	
Spelling	4	2	4	
Length	5	5	4	
Overall Quality	4	5	4	
