1035	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	2	4	
Referential Clarity	5	2	4	
Focus	3	3	4	focused too much on definitions
Structure	3	2	3	
Coherence	3	2	3	
Readability	4	2	3	
Information Content	5	5	3	
Spelling	3	4	5	too many whitespaces
Length	3	2	4	
Overall Quality	4	5	4	
