1046	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	4	Punctuation and question
Non-Redundancy	5	5	5	
Referential Clarity	4	5	5	Who is Chris Toy?
Focus	4	4	4	
Structure	3	4	4	
Coherence	3	4	3	
Readability	4	4	5	
Information Content	3	3	4	First sentence has no information
Spelling	2	4	4	Punctuation and question
Length	4	4	5	One more sentence could help - a little short
Overall Quality	3	5	4	
