1038	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	2	4	
Non-Redundancy	3	4	2	focuses strongly on KG teachers' opinions
Referential Clarity	4	2	4	
Focus	3	4	4	
Structure	4	3	4	good initial sentence
Coherence	4	3	4	
Readability	3	2	4	
Information Content	4	5	4	
Spelling	4	2	4	
Length	5	5	4	
Overall Quality	4	5	4	
