1045					
Grammaticality	4	3	4	whole sentences are used	
Non-Redundancy	4	3	4		
Referential Clarity	2	4	4	I, you	
Focus	3	4	3		
Structure	3	1	1		
Coherence	3	1	1		
Readability	3	4	4		
Information Content	2	4	3		
Spelling	4	3	4		
Length	3	2	4		
Overall Quality	2	4	5	sounds like a report and not a summary	
