1004	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	3	4	5	
Referential Clarity	5	1	5	
Focus	4	4	3	
Structure	5	4	5	
Coherence	4	3	5	
Readability	5	3	5	
Information Content	5	5	5	an actuall summary where I have the feeling that i gain information
Spelling	5	1	3	
Length	4	2	3	
Overall Quality	5	5	5	
