1046	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	3	4	
Non-Redundancy	5	3	4	
Referential Clarity	4	3	4	
Focus	5	4	5	
Structure	4	4	4	
Coherence	4	4	4	
Readability	5	5	4	
Information Content	4	5	4	
Spelling	4	1	4	
Length	4	1	5	
Overall Quality	5		5	
