1043	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	2	5	
Referential Clarity	4	2	5	What is ERIC?
Focus	3	2	3	
Structure	3	2	3	
Coherence	3	3	4	
Readability	2	4	3	last sentence very weird
Information Content	4	2	2	
Spelling	4	4	5	broken capitalization
Length	3	4	4	
Overall Quality	3	5	4	
