1001	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	4	
Non-Redundancy	5	5	5	
Referential Clarity	4	5	5	
Focus	5	4	4	
Structure	3	4	4	Changing arguments and so the structure and flow
Coherence	3	4	3	Changing arguments and so the structure and flow
Readability	5	4	5	
Information Content	4	3	4	
Spelling	5	4	4	
Length	5	4	5	
Overall Quality	4	5	4	
