1047	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	2	4	
Non-Redundancy	4	2	4	
Referential Clarity	2	4	4	Who's carol?
Focus	1	5	4	Subtopic == Topic
Structure	2	4	4	Ordering wonky
Coherence	3	4	4	
Readability	4	2	4	
Information Content	2	5	4	
Spelling	4	2	4	
Length	1	4	5	
Overall Quality	2	5	4	
