1001	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	3	4	All ratings apply to the subtopic the summary purports to cover
Non-Redundancy	4	3	3	All ratings apply to the subtopic the summary purports to cover
Referential Clarity	2	3	5	All ratings apply to the subtopic the summary purports to cover
Focus	3	3	4	All ratings apply to the subtopic the summary purports to cover
Structure	3	3	4	All ratings apply to the subtopic the summary purports to cover
Coherence	2	4	4	All ratings apply to the subtopic the summary purports to cover
Readability	4	4	4	All ratings apply to the subtopic the summary purports to cover
Information Content	3	5	5	All ratings apply to the subtopic the summary purports to cover
Spelling	5	2	5	All ratings apply to the subtopic the summary purports to cover
Length	3	4	5	All ratings apply to the subtopic the summary purports to cover
Overall Quality	3	5	3	All ratings apply to the subtopic the summary purports to cover
